동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
성내2동,면수,면,9139.0,9143.0,7956.0,7869.0,6916.0
성내3동,면수,면,11090.0,11280.0,10846.0,10656.0,10690.0
둔촌1동,면수,면,388.0,116.0,116.0,193.0,193.0
둔촌2동,면수,면,16644.0,16562.0,10553.0,11512.0,11838.0
암사1동,면수,면,17257.0,17557.0,16276.0,11699.0,12064.0
천호2동,면수,면,19343.0,18973.0,15474.0,16529.0,16985.0
길동,면수,면,24822.0,25560.0,20713.0,17661.0,18399.0
강일동,면수,면,0.0,0.0,0.0,16089.0,17156.0
상일1동,면수,면,0.0,0.0,0.0,19552.0,19555.0
상일2동,면수,면,0.0,0.0,0.0,7338.0,7338.0
