년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20191,평창동,일반의류,33,1,1,0
20191,평창동,가방,2,0,0,0
20191,평창동,안경,1,0,0,0
20191,평창동,시계및귀금속,2,0,0,0
20191,평창동,의약품,7,0,0,0
20191,평창동,의료기기,2,0,0,0
20191,평창동,서적,7,0,0,0
20191,평창동,문구,4,0,0,0
20191,평창동,화장품,11,0,1,1
20191,평창동,운동/경기용품,1,0,0,0
20191,평창동,섬유제품,5,0,0,0
20191,평창동,화초,8,1,0,0
20191,평창동,애완동물,2,0,0,0
20191,평창동,가구,2,0,0,0
20191,평창동,가전제품,4,1,0,0
20191,평창동,인테리어,5,0,0,0
20191,평창동,조명용품,7,0,0,0
20191,평창동,전자상거래업,39,4,1,0
20191,무악동,한식음식점,12,1,0,0
20191,무악동,중식음식점,2,0,0,0
20191,무악동,일식음식점,1,0,0,0
20191,무악동,제과점,1,0,1,2
20191,무악동,패스트푸드점,1,0,0,0
20191,무악동,치킨전문점,1,0,0,2
20191,무악동,분식전문점,3,1,0,2
20191,무악동,커피-음료,2,1,0,3
20191,무악동,일반교습학원,14,0,1,0
20191,무악동,외국어학원,2,0,0,0
20191,무악동,예술학원,4,0,0,0
20191,무악동,스포츠 강습,2,0,0,0
20191,무악동,일반의원,1,0,0,0
20191,무악동,치과의원,3,0,0,0
20191,무악동,골프연습장,1,0,0,0
20191,무악동,PC방,1,0,0,0
20191,무악동,자동차수리,1,0,0,0
20191,무악동,자동차미용,1,0,0,0
20191,무악동,미용실,8,0,0,0
20191,무악동,피부관리실,3,0,0,0
20191,무악동,세탁소,2,0,0,1
20191,무악동,부동산중개업,14,1,0,0
20191,무악동,여관,1,0,0,0
20191,무악동,노래방,1,0,0,0
20191,무악동,슈퍼마켓,8,0,0,0
20191,무악동,편의점,0,0,0,4
20191,무악동,컴퓨터및주변장치판매,1,0,0,0
20191,무악동,핸드폰,1,0,0,0
20191,무악동,육류판매,1,1,0,0
20191,무악동,청과상,2,0,0,0
20191,무악동,반찬가게,3,0,0,0
20191,무악동,일반의류,6,0,0,0
20191,무악동,안경,1,1,0,0
20191,무악동,시계및귀금속,1,0,0,0
20191,무악동,의약품,9,1,0,0
20191,무악동,의료기기,2,0,0,0
20191,무악동,서적,1,0,0,0
20191,무악동,문구,1,0,0,0
20191,무악동,화장품,37,2,2,0
20191,무악동,운동/경기용품,1,0,0,0
20191,무악동,화초,1,0,0,0
20191,무악동,가전제품,1,0,0,0
20191,무악동,철물점,3,0,0,0
20191,무악동,인테리어,2,0,0,0
20191,무악동,조명용품,2,0,0,0
20191,무악동,전자상거래업,6,2,0,0
20191,교남동,한식음식점,26,0,3,5
20191,교남동,중식음식점,6,0,0,0
20191,교남동,일식음식점,3,0,0,2
20191,교남동,양식음식점,7,1,0,0
20191,교남동,제과점,5,1,0,8
20191,교남동,패스트푸드점,3,0,0,4
20191,교남동,치킨전문점,2,1,1,2
20191,교남동,분식전문점,17,0,0,0
20191,교남동,호프-간이주점,1,0,0,1
20191,교남동,커피-음료,10,0,0,8
20191,교남동,일반교습학원,5,1,0,1
20191,교남동,외국어학원,2,1,0,0
20191,교남동,예술학원,4,0,0,0
20191,교남동,스포츠 강습,2,0,0,1
20191,교남동,일반의원,7,0,0,0
20191,교남동,치과의원,2,0,1,0
20191,교남동,한의원,7,0,0,0
20191,교남동,당구장,1,0,0,0
20191,교남동,PC방,1,0,0,0
20191,교남동,스포츠클럽,3,0,0,1
20191,교남동,자동차수리,2,0,0,0
20191,교남동,미용실,12,1,1,1
20191,교남동,네일숍,3,0,0,0
20191,교남동,세탁소,6,0,0,4
20191,교남동,가전제품수리,3,0,0,0
20191,교남동,부동산중개업,39,2,0,0
20191,교남동,여관,2,0,0,0
20191,교남동,노래방,2,0,0,0
20191,교남동,슈퍼마켓,6,1,0,1
20191,교남동,편의점,3,0,0,13
20191,교남동,컴퓨터및주변장치판매,7,0,0,0
20191,교남동,핸드폰,7,0,0,0
20191,교남동,미곡판매,3,0,0,0
20191,교남동,수산물판매,1,0,0,0
20191,교남동,청과상,4,0,0,0
20191,교남동,반찬가게,2,1,0,0
20191,교남동,일반의류,16,0,0,0
20191,교남동,신발,2,0,0,1
20191,교남동,가방,2,1,0,0
20191,교남동,안경,1,0,0,0
20191,교남동,시계및귀금속,1,0,0,0
20191,교남동,의약품,13,0,0,1
20191,교남동,의료기기,1,0,0,0
20191,교남동,서적,9,0,0,0
20191,교남동,문구,1,0,0,0
20191,교남동,화장품,7,0,0,3
20191,교남동,운동/경기용품,1,0,0,0
20191,교남동,자전거 및 기타운송장비,1,0,0,0
20191,교남동,완구,3,0,0,0
20191,교남동,섬유제품,1,0,0,0
20191,교남동,화초,6,0,0,0
20191,교남동,가전제품,6,0,0,0
20191,교남동,인테리어,5,0,0,0
20191,교남동,전자상거래업,11,0,0,0
20191,가회동,한식음식점,78,0,2,7
20191,가회동,중식음식점,2,0,0,1
20191,가회동,일식음식점,4,0,0,0
20191,가회동,양식음식점,18,1,0,2
20191,가회동,제과점,11,0,1,4
20191,가회동,패스트푸드점,5,0,0,0
20191,가회동,치킨전문점,2,0,0,2
20191,가회동,분식전문점,27,1,0,5
20191,가회동,호프-간이주점,7,0,0,0
20191,가회동,커피-음료,45,2,1,14
20191,가회동,일반교습학원,7,0,1,0
20191,가회동,예술학원,3,0,0,0
20191,가회동,스포츠 강습,3,0,1,0
20191,가회동,일반의원,1,0,0,0
20191,가회동,치과의원,3,0,0,0
20191,가회동,한의원,3,0,0,0
20191,가회동,당구장,5,0,0,0
20191,가회동,자동차수리,3,0,0,0
20191,가회동,미용실,7,0,0,0
20191,가회동,세탁소,4,0,0,0
20191,가회동,가전제품수리,1,0,0,0
20191,가회동,부동산중개업,27,0,0,0
20191,가회동,여관,4,0,0,0
20191,가회동,노래방,4,0,0,0
20191,가회동,슈퍼마켓,28,3,1,0
20191,가회동,편의점,2,1,1,8
20191,가회동,컴퓨터및주변장치판매,1,0,0,0
20191,가회동,핸드폰,2,0,0,0
20191,가회동,미곡판매,3,0,0,0
20191,가회동,육류판매,2,0,0,0
20191,가회동,수산물판매,1,0,0,0
20191,가회동,청과상,0,0,1,0
20191,가회동,반찬가게,12,0,0,0
20191,가회동,일반의류,26,0,2,0
20191,가회동,신발,1,0,0,0
20191,가회동,가방,8,0,0,0
20191,가회동,안경,2,0,0,0
20191,가회동,시계및귀금속,6,1,0,0
20191,가회동,의약품,1,0,0,1
20191,가회동,서적,6,0,0,0
20191,가회동,문구,9,0,1,1
20191,가회동,화장품,9,0,0,1
20191,가회동,운동/경기용품,3,0,0,0
20191,가회동,완구,3,0,0,0
20191,가회동,섬유제품,2,0,0,0
20191,가회동,화초,6,0,0,0
20191,가회동,가전제품,1,0,0,0
