행정동,지하철역
신내1동,봉화산(서울의료원)
신당5동,신당
신당동,"신당, 청구"
신대방2동,"보라매공원, 보라매병원"
신도림동,"도림천, 신도림"
신림동,신림
신사1동,응암
신사2동,새절(신사)
신사동,신대방
신정3동,신정네거리
신정4동,신정(은행정)
신정7동,양천구청
신촌동,신촌
아현동,"아현, 애오개"
안암동,안암(고대병원앞)
암사2동,암사
암사3동,암사역사공원
압구정동,"압구정, 압구정로데오"
약수동,"버티고개, 약수"
양재1동,양재(서초구청)
양재2동,양재시민의숲(매헌)
양평1동,양평
양평2동,선유도
여의동,"국회의사당, 샛강, 여의나루, 여의도"
역삼1동,"강남, 선릉, 신논현, 언주, 역삼"
영등포동,"신길, 영등포시장"
영등포본동,영등포
오금동,오금
오류1동,오류동
오류2동,천왕
오륜동,"올림픽공원(한국체대), 한성백제"
옥수동,옥수
왕십리2동,상왕십리
용강동,마포
용답동,"답십리, 신답, 장한평"
용문동,효창공원앞
용산2가동,녹사평(용산구청)
용신동,"신설동, 용두(동대문구청), 제기동"
우이동,"4.19민주묘지, 북한산우이, 솔밭공원"
우장산동,발산
월계2동,월계
월계3동,광운대
월곡2동,"상월곡(한국과학기술연구원), 월곡(동덕여대)"
을지로동,"을지로3가, 을지로4가"
응봉동,응봉
이문1동,외대앞
이문2동,신이문
이태원1동,이태원
이화동,혜화
인헌동,낙성대
일원본동,일원
자양4동,뚝섬유원지
잠실2동,잠실새내
잠실4동,"몽촌토성(평화의문), 잠실나루"
잠실6동,잠실(송파구청)
잠실7동,종합운동장
잠실본동,삼전
잠원동,잠원
장위2동,돌곶이
장지동,장지
장충동,동대입구
전농1동,청량리(서울시립대입구)
정릉1동,정릉
정릉4동,북한산보국문
제기동,고려대(종암)
종로1·2·3·4가동,"안국, 종각, 종로3가"
중계2·3동,중계
중곡3동,중곡
중화2동,"중랑, 중화"
증산동,증산(명지대앞)
진관동,구파발
창1동,"녹천, 쌍문"
창4동,창동
창5동,창동
창신1동,"동대문, 동묘앞"
창신3동,창신
천연동,독립문
천호1동,굽은다리(강동구민회관앞)
청룡동,"봉천, 서울대입구(관악구청)"
충현동,"서대문, 충정로(경기대입구)"
풍납1동,천호(풍납토성)
필동,충무로
하계2동,하계
한강로동,"삼각지, 신용산, 용산, 이촌(국립중앙박물관)"
한남동,"한강진, 한남"
합정동,합정
행당1동,왕십리(성동구청)
행당2동,행당
홍제1동,"무악재, 홍제"
화곡1동,"까치산, 화곡"
화양동,건대입구
회현동,"서울, 서울역, 회현(남대문시장)"
휘경1동,회기
흑석동,흑석(중앙대입구)
