행정동,지하철역,년분기
광장동,광나루(장신대),20222
광희동,동대문역사문화공원,20222
구로2동,구일,20222
구로3동,구로디지털단지,20222
구로3동,남구로,20222
구로5동,구로,20222
구의1동,구의(광진구청),20222
구의2동,아차산(어린이대공원후문),20222
구의3동,강변(동서울터미널),20222
금호1가동,신금호,20222
금호4가동,금호,20222
길동,길동,20222
길음1동,길음,20222
남가좌1동,가좌,20222
남영동,남영,20222
남영동,서울역,20222
남영동,숙대입구(갈월),20222
남현동,0,20222
내곡동,청계산입구,20222
노량진1동,노들,20222
노량진1동,노량진,20222
녹번동,녹번,20222
녹번동,역촌,20222
논현1동,논현,20222
논현1동,신사,20222
논현2동,강남구청,20222
논현2동,선정릉,20222
논현2동,학동,20222
능동,군자(능동),20222
능동,어린이대공원(세종대),20222
당산1동,영등포구청,20222
당산2동,당산,20222
대림3동,0,20222
대방동,보라매,20222
대방동,신대방삼거리,20222
대조동,불광,20222
대조동,연신내,20222
대치2동,대치,20222
대치2동,삼성,20222
대치2동,삼성(무역센터),20222
대치2동,학여울,20222
대치4동,0,20222
대학동,관악산(서울대),20222
대흥동,대흥(서강대앞),20222
대흥동,서강대,20222
대흥동,이대,20222
도곡1동,매봉,20222
도곡2동,도곡,20222
도곡2동,한티,20222
도봉2동,도봉,20222
도봉2동,도봉산,20222
독산1동,0,20222
동화동,0,20222
둔촌1동,둔촌동,20222
둔촌1동,둔촌오륜,20222
둔촌2동,중앙보훈병원,20222
등촌1동,증미,20222
등촌3동,가양,20222
마장동,마장,20222
마천1동,마천,20222
망우본동,신내,20222
망우본동,양원,20222
면목3.8동,0,20222
면목4동,용마산,20222
면목본동,면목,20222
명동,명동,20222
명일1동,명일,20222
명일2동,고덕,20222
목1동,목동,20222
목1동,오목교(목동운동장앞),20222
목2동,신목동,20222
목2동,염창,20222
목3동,등촌,20222
묵2동,먹골,20222
문래동,문래,20222
문정2동,문정,20222
문정2동,복정,20222
미아동,미아(서울사이버대학),20222
반포1동,반포,20222
반포1동,사평,20222
반포2동,신반포,20222
반포4동,고속터미널,20222
반포본동,구반포,20222
발산1동,우장산,20222
방배1동,내방,20222
방배2동,남태령,20222
방배3동,방배,20222
방이1동,방이,20222
방이2동,송파나루,20222
방학1동,방학,20222
방화1동,마곡나루,20222
방화1동,신방화,20222
방화2동,개화,20222
방화2동,개화산,20222
방화2동,김포공항,20222
번1동,수유(강북구청),20222
보라매동,0,20222
보문동,보문,20222
불광1동,독바위,20222
사근동,용답,20222
사근동,한양대,20222
