당산1동,21400,21491,21509,21524,21498,21339,21387,21197,20995,20834,20685,20648,20728,20717,20763,20740,21178,21301,21355,21418,21564,21601
당산2동,36216,36213,36238,36324,36430,37249,38001,38011,37660,37639,37853,37911,37960,37887,37722,37102,37175,37188,37226,37113,37094,37009
대림1동,16941,16686,16499,16332,16229,16018,17868,17751,17405,17276,17134,17067,16934,16776,16544,16506,16368,16371,16259,16164,16143,16065
대림2동,22417,22177,21705,21370,21101,20820,20389,19776,18892,18694,18370,18162,18016,17905,17559,17523,17582,17718,17631,17575,17460,17467
대림3동,29373,29244,28879,28638,28328,27975,27601,26973,26459,26213,26028,25876,25744,25666,25301,25205,25234,25135,25094,25027,24947,24876
대방동,40191,40194,40244,40177,40002,39683,39430,39172,38852,38667,38605,38338,38151,38081,37757,37056,36348,36107,36054,35989,36044,35926
대조동,32362,32022,29784,27910,27817,27740,27669,27579,27534,27428,27318,27204,27167,27136,26835,26862,27657,27650,27731,27758,27841,27854
대치1동,25395,25288,25349,25302,25298,25141,25135,24922,24587,24478,24283,24199,24031,23946,23868,23846,23805,23829,24014,23934,23866,23810
대치2동,39424,38994,38853,38647,38575,38310,38193,37752,36906,36677,36333,36663,36876,36902,37188,37098,37038,37180,38206,38417,38341,38295
대치4동,20945,20860,20937,20822,20770,20744,20869,20744,20358,20261,20275,20079,19914,19731,19677,19491,19237,19131,19174,18929,18714,18753
대학동,24895,24741,24603,24457,24638,24887,25012,24907,24811,24983,24913,24921,25186,25338,25749,26301,26871,27160,27244,27093,27215,27453
대흥동,13733,13600,13776,13575,15177,15753,15819,15863,15695,15728,15847,15848,15976,16011,16202,16177,16154,16147,16425,16269,16328,16125
도곡1동,22768,22689,22618,22626,22651,22510,22361,22227,22044,21917,21673,21539,21566,21476,21351,21274,20914,20862,20813,20701,20631,20615
도곡2동,34484,34370,34385,34437,34524,34379,34350,34042,33877,33607,33417,33261,33140,32999,32863,32846,32768,32662,32694,32738,32484,32427
도림동,22120,21974,21778,21552,21423,21251,21088,20665,20197,20062,19920,19826,19816,19813,19685,19600,19648,19665,19571,19520,19468,19553
도봉1동,22693,22554,22431,22293,22141,21969,21916,21810,21474,21409,21250,21210,21032,20959,20710,20622,20541,20397,20280,20209,20075,19994
도봉2동,28902,28854,28789,28677,28498,28387,28133,27920,27526,27302,27117,26962,26785,26597,26409,26359,26212,26151,26093,26156,26229,26276
도화동,22784,22699,22663,22594,22544,22332,22102,21998,21689,21566,21525,21391,21269,21221,21155,21118,21005,20937,20867,20899,20881,20898
독산1동,42774,43574,43529,43840,44572,44812,44534,44191,43969,44929,46113,46698,47111,47596,47550,47573,47919,48046,48208,48084,48299,48707
독산2동,21991,21779,21602,21405,21225,21038,20869,20666,20345,20363,20275,20175,20112,19997,19759,19562,19428,19400,19278,19152,19048,18915
