"동별","종사자규모별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"평창동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","328","571","577","556",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","3447","4462","4321","4294",
"평창동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","1518","2155","2068","2002",
"평창동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","1929","2307","2253","2292",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","593","1129","1157","1137",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1089","1735","1711","1612",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","96","104","94","84",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","604","636","578","497",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","42","38","35","33",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","535","478","467","419",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","25","26","25","24",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","703","739","707","646",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3","7","8","4",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","192","437","538","263",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2","3","2","3",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","324","437","320","398",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","1",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","459",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"평창동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","647","673","761","837",
"무악동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","102","165","176","184",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1644","1929","1891","1987",
"무악동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","872","907","960","998",
"무악동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","772","1022","931","989",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","606","628","722","797",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","759","768","857","938",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","25","26","19","24",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","160","161","111","141",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","11","9","14","8",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","141","123","199","109",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3","7","3","5",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","87","196","90","124",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","2","1",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","69","92","157","62",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","1","-","1",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","131","-","144",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","1","1",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","428","458","477","469",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"무악동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"무악동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","413","614","592","561",
"교남동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","178","262","256","245",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","4581","7421","8371","13335",
"교남동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","1481","3784","4445","8361",
"교남동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","3100","3637","3926","4974",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","329","518","488","447",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","630","761","750","683",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","52","55","52","64",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","345","360","342","417",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","22","25","34","32",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","298","313","430","442",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","6","9","11","13",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","166","200","297","442",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2","3","3","1",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","142","193","191","76",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","1","-","-",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","100","-","-",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","1","1",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","378","340","374","355",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","1","1",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","744","660",
"교남동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","2","2","2",
"교남동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","2622","5154","5243","10260",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","765","979","969","977",
"가회동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","351","445","436","444",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","12817","13958","14180","15449",
"가회동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","9546","9731","10707","11697",
"가회동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","3271","4227","3473","3752",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","579","804","805","802",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1096","1292","1274","1271",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","112","101","95","102",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","703","627","596","644",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","37","39","36","36",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","468","500","485","464",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","18","14","14","21",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","489","480","447","632",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","7","8","7","5",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","490","545","421","330",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","5","6","6","6",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","719","799","796","992",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3","3","3","2",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1048","1181","1118","783",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2","2","1","1",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1341","1455","875","926",
"가회동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","2","2","2","2",
"가회동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","6463","7079","8168","9407",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","15472","18578","17286","17095",
"종로1.2.3.4가동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","4920","5815","5412","5277",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","108747","115769","107067","106826",
"종로1.2.3.4가동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","65713","70934","63437","62443",
"종로1.2.3.4가동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","43034","44835","43630","44383",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","12653","15968","14822","14527",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","22932","25395","23368","22156",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1720","1555","1423","1509",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","10539","9815","8982","9631",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","600","566","562","550",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","7771","7410","7312","7204",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","293","270","265","296",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","8407","7942","7744","8832",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","80","88","95","89",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","5463","6214","6539","6505",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","85","81","69","76",
"종로1.2.3.4가동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","14253","13519","11037","12834",
"종로1.2.3.4가동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","13","23","25","19",
