사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
201901,분당선,강남구청,241666,41928,281747,45124,20190203,분당선,강남구,논현2동,강남구_논현2동,610465,1,1분기
201912,5호선,강동,538489,119966,466646,108043,20200103,5호선,강동구,성내2동,강동구_성내2동,1233144,12,4분기
201911,5호선,강동,535194,114811,465681,103631,20191203,5호선,강동구,성내2동,강동구_성내2동,1219317,11,4분기
201910,5호선,강동,541047,120404,471889,108761,20191103,5호선,강동구,성내2동,강동구_성내2동,1242101,10,4분기
201909,5호선,강동,483945,105027,423022,95252,20191003,5호선,강동구,성내2동,강동구_성내2동,1107246,9,3분기
201908,5호선,강동,501329,112866,438327,102688,20190903,5호선,강동구,성내2동,강동구_성내2동,1155210,8,3분기
201907,5호선,강동,528692,119438,462969,109449,20190803,5호선,강동구,성내2동,강동구_성내2동,1220548,7,3분기
201906,5호선,강동,492543,109533,427448,99454,20221216,5호선,강동구,성내2동,강동구_성내2동,1128978,6,2분기
201905,5호선,강동,534982,113710,459174,102956,20190603,5호선,강동구,성내2동,강동구_성내2동,1210822,5,2분기
201904,5호선,강동,522716,109840,449905,99591,20190503,5호선,강동구,성내2동,강동구_성내2동,1182052,4,2분기
201903,5호선,강동,519193,108153,448805,98298,20190403,5호선,강동구,성내2동,강동구_성내2동,1174449,3,1분기
201902,5호선,강동,424509,90001,366056,81839,20190303,5호선,강동구,성내2동,강동구_성내2동,962405,2,1분기
201901,5호선,강동,502069,104126,433173,94346,20190203,5호선,강동구,성내2동,강동구_성내2동,1133714,1,1분기
201912,8호선,강동구청,268227,71468,274409,72794,20200103,8호선,강동구,성내1동,강동구_성내1동,686898,12,4분기
201911,8호선,강동구청,257968,68294,263216,68996,20191203,8호선,강동구,성내1동,강동구_성내1동,658474,11,4분기
201910,8호선,강동구청,259773,71278,263453,72121,20191103,8호선,강동구,성내1동,강동구_성내1동,666625,10,4분기
201909,8호선,강동구청,233532,62652,237078,63254,20191003,8호선,강동구,성내1동,강동구_성내1동,596516,9,3분기
201908,8호선,강동구청,242227,64352,245717,64939,20190903,8호선,강동구,성내1동,강동구_성내1동,617235,8,3분기
201907,8호선,강동구청,264395,67559,267852,68009,20190803,8호선,강동구,성내1동,강동구_성내1동,667815,7,3분기
201906,8호선,강동구청,243349,66140,246152,66205,20221216,8호선,강동구,성내1동,강동구_성내1동,621846,6,2분기
201905,8호선,강동구청,266051,70254,266520,70546,20190603,8호선,강동구,성내1동,강동구_성내1동,673371,5,2분기
201904,8호선,강동구청,261231,67371,264901,67752,20190503,8호선,강동구,성내1동,강동구_성내1동,661255,4,2분기
201903,8호선,강동구청,258999,66709,263132,67270,20190403,8호선,강동구,성내1동,강동구_성내1동,656110,3,1분기
201902,8호선,강동구청,218566,55566,222194,56153,20190303,8호선,강동구,성내1동,강동구_성내1동,552479,2,1분기
201901,8호선,강동구청,264480,66036,269595,66708,20190203,8호선,강동구,성내1동,강동구_성내1동,666819,1,1분기
201912,경의선,강매,73967,18147,59326,17243,20200103,0,0,0,0,168683,12,4분기
